name,position
Kayshon Boutte (Patriots),WR
Devaughn Vele (Saints),WR
Darius Slayton (Giants),WR
Elijah Moore (Bills),WR
Jalen McMillan (Buccaneers),WR
Dontayvion Wicks (Packers),WR
Tyler Lockett (Titans),WR
Tim Patrick (Jaguars),WR
Kyle Williams (Patriots),WR
Christian Watson (Packers),WR
Tank Dell (Texans),WR
Brock Bowers (Raiders),TE
George Kittle (49ers),TE
Trey McBride (Cardinals),TE
Tyler Warren (Colts),TE
Sam LaPorta (Lions),TE
T.J. Hockenson (Vikings),TE
Mark Andrews (Ravens),TE
Evan Engram (Broncos),TE
Colston Loveland (Bears),TE
Tucker Kraft (Packers),TE
Isaiah Likely (Ravens),TE
Travis Kelce (Chiefs),TE
Jonnu Smith (Steelers),TE
David Njoku (Browns),TE
Jake Ferguson (Cowboys),TE
Brenton Strange (Jaguars),TE
Tyler Higbee (Rams),TE
Pat Freiermuth (Steelers),TE
Theo Johnson (Giants),TE
Dalton Kincaid (Bills),TE
Kyle Pitts (Falcons),TE
Dallas Goedert (Eagles),TE
Darren Waller (Dolphins),TE
Dalton Schultz (Texans),TE
Noah Gray (Chiefs),TE
Mike Gesicki (Bengals),TE
Cade Otton (Buccaneers),TE
Cole Kmet (Bears),TE
Taysom Hill (Saints),TE
Hunter Henry (Patriots),TE
Zach Ertz (Redskins),TE
Chig Okonkwo (Titans),TE
Elijah Arroyo (Seahawks),TE
Juwan Johnson (Saints),TE
Will Dissly (Chargers),TE
Mason Taylor (Jets),TE
Ja'Tavion Sanders (Panthers),TE
Grant Calcaterra (Eagles),TE
Dawson Knox (Bills),TE
Tyler Conklin (Chargers),TE
Michael Mayer (Raiders),TE
Tanner Hudson (Bengals),TE
Lucas Krull (Broncos),TE
Luke Musgrave (Packers),TE
Brandon Aubrey (Cowboys),K
Younghoe Koo (Falcons),K
Will Reichard (Vikings),K
Tyler Loop (Ravens),K
Jake Bates (Lions),K
Evan McPherson (Bengals),K
Cam Little (Jaguars),K
Harrison Butker (Chiefs),K
Daniel Carlson (Raiders),K
Chris Boswell (Steelers),K
Blake Grupe (Saints),K
Tyler Bass (Bills),K
Jake Elliott (Eagles),K
Jason Myers (Seahawks),K
Fairbairn Ka'imi (Texans),K
Greg Zuerlein (Jets),K
Graham Gano (Giants),K
Wil Lutz (Broncos),K
Spencer Shrader (Colts),K
Matt Gay (Redskins),K
Jason Sanders (Dolphins),K
Jake Moody (49ers),K
Andres Borregales (Patriots),K
Cairo Santos (Bears),K
Cameron Dicker (Chargers),K
Dustin Hopkins (Browns),K
Chase McLaughlin (Buccaneers),K
Matthew Wright (Panthers),K
Chad Ryland (Cardinals),K
Joshua Karty (Rams),K
Brandon McManus (Packers),K
Joey Slye (Titans),K
Eagles,DEF
Bills,DEF
Texans,DEF
49ers,DEF
Vikings,DEF
Steelers,DEF
Patriots,DEF
Lions,DEF
Chargers,DEF
Packers,DEF
Seahawks,DEF
Broncos,DEF
